City,Latitude,Longitude
Shillong,25.5788,91.8933
Hubli,15.3647,75.1240
Kolhapur,16.7050,74.2433
Panjim,15.4909,73.8278
Kanpur,26.4499,80.3319
Imphal,24.8170,93.9368
Jullundur,31.3260,75.5762
Coimbatore,11.0168,76.9558
Cochin,9.9312,76.2673
Bhubaneshwar,20.2961,85.8245
Allahabad,25.4358,81.8463
Asansol,23.6889,86.9661
Trivandrum,8.5241,76.9366
Agartala,23.8315,91.2868
Delhi,28.6100,77.2300
Bombay,19.0761,72.8775
Calcutta,22.5675,88.3700
Calicut,22.5675,88.3700
Bangalore,12.9789,77.5917
Madras,13.0825,80.2750
Hyderabad,17.3850,78.4867
Pune,18.5203,73.8567
Ahmedabad,23.0300,72.5800
Surat,21.1702,72.8311
Lucknow,26.8500,80.9500
Jaipur,26.9000,75.8000
Nagpur,21.1497,79.0806
Baroda,22.3000,73.2000
Vishakapatnam,17.7042,83.2978
Indore,22.7167,75.8472
Bhopal,23.2500,77.4167
Patna,25.6000,85.1000
Ludhiana,30.9100,75.8500
Agra,27.1800,78.0200
Madurai,9.9252,78.1198
Jamshedpur,22.7925,86.1842
Nasik,20.0000,73.7800
Meerut,28.9800,77.7100
Jabalpur,23.1667,79.9333
Varanasi,25.3189,83.0128
Amritsar,31.6400,74.8600
Ranchi,23.3600,85.3300
Gwalior,26.2215,78.1780
Chandigarh,30.7500,76.7800
Vijayawada,16.5193,80.6305
Pondicherry,11.9167,79.8167
Shimla,31.1033,77.1722
